price,room_type,number_of_reviews,reviews_per_month,city
75.0,Entire home/apt,48,1.36,Barcelona
140.0,Entire home/apt,9,0.28,Barcelona
200.0,Entire home/apt,29,0.53,Barcelona
50.0,Private room,1,0.19,Barcelona
47.0,Entire home/apt,72,3.13,Barcelona
69.0,Private room,0,,Barcelona
120.0,Entire home/apt,1,0.1,Barcelona
60.0,Entire home/apt,6,0.66,Barcelona
36.0,Private room,138,2.05,Barcelona
30.0,Private room,67,3.32,Barcelona
68.0,Entire home/apt,1,0.1,Barcelona
50.0,Private room,0,,Barcelona
60.0,Entire home/apt,1,0.05,Barcelona
35.0,Private room,2,0.25,Barcelona
70.0,Entire home/apt,1,0.19,Barcelona
41.0,Private room,1,0.05,Barcelona
39.0,Private room,3,0.15,Barcelona
155.0,Entire home/apt,0,,Barcelona
68.0,Entire home/apt,51,4.98,Barcelona
50.0,Entire home/apt,0,,Barcelona
500.0,Entire home/apt,0,,Barcelona
75.0,Entire home/apt,0,,Barcelona
27.0,Private room,6,0.39,Barcelona
49.0,Private room,3,2.2,Barcelona
90.0,Entire home/apt,36,2.0,Barcelona
40.0,Private room,7,1.09,Barcelona
91.0,Entire home/apt,27,1.53,Barcelona
200.0,Entire home/apt,0,,Barcelona
30.0,Private room,66,1.08,Barcelona
24.0,Private room,5,0.55,Barcelona
39.0,Private room,1,0.15,Barcelona
33.0,Private room,0,,Barcelona
40.0,Private room,0,,Barcelona
69.0,Entire home/apt,11,1.64,Barcelona
24.0,Private room,42,0.99,Barcelona
40.0,Private room,0,,Barcelona
70.0,Entire home/apt,23,1.25,Barcelona
20.0,Private room,3,1.55,Barcelona
,Entire home/apt,0,,Barcelona
95.0,Entire home/apt,2,0.16,Barcelona
25.0,Private room,6,1.71,Barcelona
25.0,Private room,31,1.46,Barcelona
96.0,Entire home/apt,7,0.51,Barcelona
170.0,Entire home/apt,58,1.25,Barcelona
100.0,Entire home/apt,0,,Barcelona
214.0,Entire home/apt,0,,Barcelona
120.0,Entire home/apt,28,0.59,Barcelona
25.0,Private room,2,0.15,Barcelona
20.0,Private room,6,0.74,Barcelona
25.0,Shared room,13,1.21,Barcelona
30.0,Private room,5,0.76,Barcelona
