price,room_type,number_of_reviews,reviews_per_month,city
50,Private room,32,0.5,Melbourne
150,Entire home/apt,126,2.65,Melbourne
349,Entire home/apt,22,0.43,Melbourne
48,Private room,3,3.0,Melbourne
230,Entire home/apt,29,0.47,Melbourne
120,Entire home/apt,123,2.78,Melbourne
136,Entire home/apt,178,2.82,Melbourne
120,Entire home/apt,294,4.79,Melbourne
79,Private room,126,1.95,Melbourne
60,Private room,59,0.96,Melbourne
155,Entire home/apt,97,1.97,Melbourne
251,Entire home/apt,34,4.74,Melbourne
136,Entire home/apt,11,0.18,Melbourne
90,Entire home/apt,73,1.21,Melbourne
100,Private room,0,,Melbourne
90,Private room,46,0.76,Melbourne
136,Private room,0,,Melbourne
60,Private room,14,0.23,Melbourne
60,Private room,16,0.25,Melbourne
50,Private room,0,,Melbourne
84,Private room,71,1.51,Melbourne
150,Entire home/apt,8,0.14,Melbourne
125,Entire home/apt,83,1.31,Melbourne
109,Entire home/apt,18,0.62,Melbourne
251,Entire home/apt,12,0.19,Melbourne
109,Entire home/apt,13,0.2,Melbourne
169,Entire home/apt,103,1.64,Melbourne
120,Entire home/apt,16,0.25,Melbourne
84,Private room,2,0.08,Melbourne
40,Private room,16,0.25,Melbourne
170,Entire home/apt,13,0.35,Melbourne
96,Private room,36,0.89,Melbourne
90,Private room,3,0.05,Melbourne
80,Private room,239,3.93,Melbourne
180,Entire home/apt,43,0.72,Melbourne
80,Private room,19,0.52,Melbourne
46,Shared room,72,1.18,Melbourne
199,Entire home/apt,103,1.63,Melbourne
129,Entire home/apt,439,6.9,Melbourne
199,Entire home/apt,142,2.25,Melbourne
150,Entire home/apt,17,0.28,Melbourne
76,Entire home/apt,20,0.33,Melbourne
163,Entire home/apt,8,0.13,Melbourne
50,Private room,15,0.31,Melbourne
165,Entire home/apt,12,0.2,Melbourne
109,Entire home/apt,10,0.16,Melbourne
695,Entire home/apt,1,0.02,Melbourne
55,Private room,7,0.11,Melbourne
53,Private room,10,0.21,Melbourne
60,Private room,2,0.09,Melbourne
130,Entire home/apt,36,0.59,Melbourne
163,Entire home/apt,3,0.05,Melbourne
166,Entire home/apt,4,0.09,Melbourne
174,Entire home/apt,166,3.2,Melbourne
60,Private room,81,1.61,Melbourne
975,Entire home/apt,6,0.1,Melbourne
165,Entire home/apt,38,0.6,Melbourne
137,Entire home/apt,86,1.37,Melbourne
299,Entire home/apt,77,1.22,Melbourne
84,Entire home/apt,33,0.52,Melbourne
89,Entire home/apt,117,1.88,Melbourne
255,Entire home/apt,1,0.02,Melbourne
115,Private room,19,0.32,Melbourne
170,Entire home/apt,75,1.2,Melbourne
126,Entire home/apt,182,2.88,Melbourne
83,Entire home/apt,224,3.65,Melbourne
79,Private room,0,,Melbourne
71,Private room,0,,Melbourne
115,Entire home/apt,79,1.29,Melbourne
300,Entire home/apt,85,1.35,Melbourne
170,Entire home/apt,43,0.71,Melbourne
419,Entire home/apt,131,2.51,Melbourne
150,Entire home/apt,54,0.86,Melbourne
862,Entire home/apt,76,1.24,Melbourne
179,Entire home/apt,79,1.29,Melbourne
251,Entire home/apt,260,4.16,Melbourne
55,Private room,2,0.06,Melbourne
105,Entire home/apt,181,2.92,Melbourne
60,Private room,19,0.35,Melbourne
82,Entire home/apt,64,1.04,Melbourne
161,Entire home/apt,55,0.88,Melbourne
120,Private room,0,,Melbourne
165,Entire home/apt,109,1.77,Melbourne
127,Entire home/apt,181,2.89,Melbourne
145,Entire home/apt,6,0.1,Melbourne
199,Entire home/apt,21,0.34,Melbourne
120,Private room,137,2.18,Melbourne
161,Entire home/apt,1,0.03,Melbourne
395,Entire home/apt,50,0.84,Melbourne
350,Entire home/apt,18,0.33,Melbourne
161,Entire home/apt,15,0.24,Melbourne
105,Private room,2,0.04,Melbourne
130,Entire home/apt,8,0.13,Melbourne
220,Entire home/apt,16,0.26,Melbourne
65,Private room,187,3.05,Melbourne
72,Private room,2,0.24,Melbourne
130,Entire home/apt,59,0.97,Melbourne
190,Entire home/apt,70,1.13,Melbourne
69,Private room,18,0.32,Melbourne
190,Entire home/apt,55,0.89,Melbourne
230,Entire home/apt,4,0.09,Melbourne
345,Entire home/apt,98,1.61,Melbourne
79,Entire home/apt,162,2.63,Melbourne
195,Entire home/apt,29,0.47,Melbourne
115,Entire home/apt,32,0.53,Melbourne
109,Entire home/apt,41,0.68,Melbourne
96,Entire home/apt,320,5.22,Melbourne
174,Entire home/apt,83,2.36,Melbourne
100,Entire home/apt,1,0.02,Melbourne
75,Private room,70,1.2,Melbourne
60,Private room,4,0.06,Melbourne
186,Entire home/apt,17,0.29,Melbourne
190,Entire home/apt,162,2.62,Melbourne
165,Private room,1,0.05,Melbourne
170,Entire home/apt,14,0.23,Melbourne
199,Entire home/apt,12,0.2,Melbourne
300,Entire home/apt,38,0.61,Melbourne
60,Private room,22,0.37,Melbourne
68,Private room,2,0.04,Melbourne
80,Entire home/apt,99,1.63,Melbourne
118,Entire home/apt,246,3.97,Melbourne
75,Private room,63,1.67,Melbourne
995,Entire home/apt,1,0.11,Melbourne
100,Entire home/apt,65,1.64,Melbourne
950,Entire home/apt,19,0.32,Melbourne
78,Private room,10,0.17,Melbourne
354,Entire home/apt,49,0.81,Melbourne
120,Entire home/apt,1,0.04,Melbourne
48,Private room,29,1.09,Melbourne
90,Entire home/apt,121,2.02,Melbourne
55,Private room,35,0.57,Melbourne
170,Entire home/apt,0,,Melbourne
80,Entire home/apt,179,2.95,Melbourne
161,Entire home/apt,46,0.76,Melbourne
450,Entire home/apt,12,0.25,Melbourne
102,Entire home/apt,34,0.58,Melbourne
880,Entire home/apt,0,,Melbourne
109,Private room,95,1.64,Melbourne
226,Entire home/apt,19,0.32,Melbourne
199,Entire home/apt,171,2.86,Melbourne
199,Entire home/apt,231,3.99,Melbourne
150,Entire home/apt,5,0.09,Melbourne
251,Entire home/apt,88,1.44,Melbourne
150,Private room,4,0.07,Melbourne
96,Private room,20,0.35,Melbourne
78,Private room,9,0.15,Melbourne
100,Private room,1,0.02,Melbourne
65,Private room,152,2.49,Melbourne
62,Private room,49,0.83,Melbourne
220,Entire home/apt,15,0.25,Melbourne
270,Entire home/apt,20,0.43,Melbourne
251,Entire home/apt,48,0.85,Melbourne
125,Entire home/apt,55,0.92,Melbourne
75,Private room,66,1.08,Melbourne
50,Private room,35,0.6,Melbourne
96,Private room,39,0.67,Melbourne
