price,room_type,number_of_reviews,reviews_per_month,city
96,Private room,247,3.74,Sydney
104,Entire home/apt,2,0.09,Sydney
318,Entire home/apt,63,0.94,Sydney
60,Private room,1,0.03,Sydney
60,Private room,9,0.35,Sydney
100,Entire home/apt,8,0.13,Sydney
170,Entire home/apt,10,0.15,Sydney
217,Entire home/apt,85,2.83,Sydney
65,Private room,19,0.32,Sydney
136,Entire home/apt,104,1.6,Sydney
100,Private room,32,0.51,Sydney
125,Entire home/apt,26,0.4,Sydney
230,Entire home/apt,31,0.49,Sydney
199,Private room,31,0.62,Sydney
199,Entire home/apt,33,0.5,Sydney
96,Entire home/apt,255,4.04,Sydney
180,Entire home/apt,194,2.94,Sydney
300,Entire home/apt,0,,Sydney
161,Entire home/apt,36,0.6,Sydney
260,Entire home/apt,177,2.69,Sydney
60,Private room,69,1.13,Sydney
60,Private room,30,0.45,Sydney
130,Entire home/apt,52,0.79,Sydney
300,Entire home/apt,3,0.06,Sydney
180,Entire home/apt,8,0.12,Sydney
700,Entire home/apt,1,0.09,Sydney
325,Entire home/apt,5,0.08,Sydney
599,Entire home/apt,2,0.03,Sydney
444,Entire home/apt,16,0.27,Sydney
370,Entire home/apt,1,0.02,Sydney
251,Entire home/apt,25,0.42,Sydney
60,Private room,0,,Sydney
1049,Entire home/apt,0,,Sydney
156,Entire home/apt,234,3.56,Sydney
285,Entire home/apt,24,0.38,Sydney
100,Private room,0,,Sydney
220,Entire home/apt,75,1.15,Sydney
651,Entire home/apt,5,0.12,Sydney
150,Entire home/apt,12,0.19,Sydney
140,Entire home/apt,65,1.01,Sydney
150,Entire home/apt,28,0.43,Sydney
289,Entire home/apt,9,0.26,Sydney
624,Entire home/apt,23,0.39,Sydney
140,Private room,28,0.44,Sydney
184,Entire home/apt,10,0.15,Sydney
65,Private room,14,0.38,Sydney
107,Entire home/apt,84,1.31,Sydney
71,Private room,29,0.47,Sydney
1849,Entire home/apt,1,0.02,Sydney
170,Entire home/apt,14,0.23,Sydney
68,Private room,37,0.59,Sydney
109,Entire home/apt,283,4.34,Sydney
775,Entire home/apt,0,,Sydney
321,Entire home/apt,8,0.34,Sydney
251,Entire home/apt,3,0.11,Sydney
54,Private room,36,0.6,Sydney
96,Entire home/apt,2,0.06,Sydney
217,Entire home/apt,72,1.22,Sydney
136,Entire home/apt,7,0.11,Sydney
206,Entire home/apt,21,0.33,Sydney
150,Entire home/apt,25,0.38,Sydney
55,Private room,37,0.57,Sydney
199,Entire home/apt,2,0.03,Sydney
486,Entire home/apt,87,1.34,Sydney
120,Entire home/apt,1,0.02,Sydney
350,Entire home/apt,3,0.05,Sydney
125,Entire home/apt,18,0.28,Sydney
71,Private room,3,0.32,Sydney
